iteration,duration_ms
1,14.785
2,14.616
3,14.835
4,14.786
5,14.738
6,14.771
7,14.660
8,14.799
9,14.774
10,14.697
11,14.690
12,14.531
13,14.826
14,14.620
15,14.883
16,14.753
17,14.660
18,14.824
19,14.752
20,14.740
21,14.708
22,14.847
23,14.728
24,14.641
25,14.860
26,14.692
27,14.807
28,14.651
29,14.757
30,14.653
31,14.763
32,14.710
33,15.767
34,14.724
35,14.727
36,14.717
37,14.653
38,14.531
39,14.788
40,14.664
41,14.765
42,14.768
43,14.719
44,14.623
45,14.541
46,14.763
47,14.793
48,14.622
49,14.773
50,14.743
51,14.621
52,14.792
53,14.732
54,14.698
55,14.720
56,14.765
57,14.663
58,14.805
59,14.712
60,14.725
61,14.774
62,14.615
63,14.802
64,14.646
65,14.763
66,14.633
67,14.775
68,14.611
69,14.538
70,14.812
71,14.720
72,14.730
73,14.752
74,14.733
75,14.721
76,14.722
77,14.698
78,14.860
79,14.667
80,14.807
81,14.811
82,14.757
83,14.714
84,14.780
85,14.738
86,14.774
87,14.639
88,14.790
89,14.651
90,14.859
91,14.708
92,14.841
93,14.658
94,14.525
95,14.560
96,14.583
97,14.521
98,14.806
99,14.744
100,14.790
