iteration,duration_ms
1,31.613
2,14.751
3,14.696
4,14.770
5,14.757
6,15.455
7,14.752
8,14.845
9,14.669
10,14.799
11,14.721
12,14.609
13,14.482
14,14.784
15,14.721
16,14.795
17,14.723
18,14.703
19,14.678
20,14.736
21,14.728
22,14.635
23,14.763
24,14.709
25,14.738
26,14.773
27,14.691
28,14.741
29,14.743
30,14.825
31,14.670
32,14.670
33,14.734
34,14.698
35,14.696
36,14.721
37,14.685
38,14.624
39,14.782
40,14.650
41,14.796
42,14.743
43,14.722
44,14.781
45,14.739
46,14.725
47,14.784
48,14.753
49,14.671
50,14.741
51,14.706
52,14.740
53,14.759
54,14.744
55,14.757
56,14.654
57,14.665
58,14.796
59,14.727
60,14.712
61,14.650
62,14.586
63,14.772
64,14.759
65,14.617
66,14.801
67,14.583
68,14.479
69,14.786
70,14.760
71,14.618
72,14.721
73,14.744
74,14.677
75,14.485
76,14.750
77,14.782
78,14.718
79,14.698
80,14.765
81,14.598
82,14.720
83,14.761
84,14.670
85,14.754
86,14.623
87,14.554
88,14.512
89,14.781
90,14.613
91,14.596
92,14.819
93,14.638
94,14.794
95,14.635
96,14.788
97,14.777
98,14.644
99,14.812
100,14.794
