iteration,duration_ms
1,639.613
2,591.553
3,926.256
4,422.311
5,1331.693
6,571.275
7,621.661
8,496.560
9,871.706
10,620.204
11,504.076
12,368.824
13,840.994
14,548.717
15,631.957
16,526.307
17,441.935
18,531.498
19,965.458
20,747.501
21,629.671
22,679.932
23,737.711
24,493.249
25,1099.674
26,1787.155
27,1790.951
28,802.096
29,637.460
30,580.625
31,588.431
32,990.044
33,714.545
34,756.923
35,1001.331
36,986.616
37,1028.919
38,446.139
39,550.467
40,700.275
41,652.829
42,718.367
43,698.923
44,593.825
45,457.602
46,1461.716
47,413.821
48,1301.305
49,580.345
50,1190.989
51,580.988
52,459.077
53,488.071
54,671.629
55,872.735
56,486.561
57,402.701
58,690.823
59,437.848
60,1043.016
61,399.211
62,777.021
63,509.710
64,1073.121
65,820.282
66,631.623
67,1511.142
68,2045.165
69,489.436
70,650.937
71,585.655
72,387.257
73,672.311
74,449.776
75,753.363
76,1217.512
77,970.405
78,464.423
79,575.740
80,1292.533
81,694.674
82,624.950
83,1200.693
84,1126.261
85,614.138
86,607.069
87,1009.758
88,798.239
89,717.727
90,1133.152
91,714.056
92,993.120
93,340.461
94,616.210
95,944.061
96,764.790
97,664.207
98,1721.193
99,630.648
100,630.135
