iteration,status_code,duration_ms
1,200,2443.492
2,200,2416.758
3,200,2410.385
4,200,2408.674
5,200,2426.745
6,200,2434.687
7,200,2416.450
8,200,2404.781
9,200,2393.075
10,200,2400.013
11,200,2401.506
12,200,2400.906
13,200,2401.802
14,200,2410.369
15,200,2398.675
16,200,2404.419
17,200,2406.010
18,200,2410.401
19,200,2400.802
20,200,2426.462
21,200,2400.451
22,200,2408.727
23,200,2415.548
24,200,2411.441
25,200,2409.594
26,200,2405.513
27,200,2399.417
28,200,2403.212
29,200,2408.004
30,200,2410.431
31,200,2400.202
32,200,2396.912
33,200,2402.720
34,200,2400.078
35,200,2406.003
36,200,2403.298
37,200,2405.612
38,200,2412.069
39,200,2405.419
40,200,2409.708
41,200,2414.089
42,200,2407.921
43,200,2401.958
44,200,2398.777
45,200,2401.543
46,200,2402.302
47,200,2400.738
48,200,2399.339
49,200,2408.000
50,200,2402.514
51,200,2407.651
52,200,2414.032
53,200,2715.767
54,200,2409.212
55,200,2909.599
56,200,2923.234
57,200,2494.547
58,200,2413.717
59,200,2398.598
60,200,2415.187
61,200,2422.079
62,200,2405.109
63,200,2408.063
64,200,2409.505
65,200,2469.541
66,200,2412.916
67,200,2458.098
68,200,2415.646
69,200,2401.369
70,200,2409.099
71,200,2411.972
72,200,2408.442
73,200,2469.903
74,200,2413.213
75,200,2456.968
76,200,2481.379
77,200,2402.796
78,200,2440.465
79,200,2416.293
80,200,2407.470
81,200,2462.672
82,200,2455.737
83,200,2515.702
84,200,2484.147
85,200,2415.970
86,200,2463.201
87,200,2418.372
88,200,2464.109
89,200,2420.424
90,200,2534.674
91,200,2472.013
92,200,2578.698
93,200,2468.552
94,200,2524.759
95,200,2408.805
96,200,2500.880
97,200,2584.448
98,200,2401.757
99,200,2410.949
100,200,2539.062
