iteration,status_code,duration_ms
1,201,591.611
2,201,595.288
3,201,591.659
4,201,592.734
5,201,590.286
6,201,590.392
7,201,593.439
8,201,594.767
9,201,598.009
10,201,592.426
11,201,591.886
12,201,593.282
13,201,597.870
14,201,595.276
15,201,592.978
16,201,590.251
17,201,595.965
18,201,591.642
19,201,592.328
20,201,589.752
21,201,593.466
22,201,592.520
23,201,593.366
24,201,642.588
25,201,591.958
26,201,589.367
27,201,592.463
28,201,592.163
29,201,593.933
30,201,596.214
31,201,591.493
32,201,592.819
33,201,595.998
34,201,592.816
35,201,592.664
36,201,588.650
37,201,599.944
38,201,592.457
39,201,594.590
40,201,590.448
41,201,590.310
42,201,592.097
43,201,599.388
44,201,592.341
45,201,593.405
46,201,595.397
47,201,591.035
48,201,594.789
49,201,591.754
50,201,591.011
51,201,595.452
52,201,591.570
53,201,590.725
54,201,598.401
55,201,594.782
56,201,596.347
57,201,724.523
58,201,591.701
59,201,590.881
60,201,608.974
61,201,590.996
62,201,590.886
63,201,601.607
64,201,590.175
65,201,591.249
66,201,595.063
67,201,594.424
68,201,595.921
69,201,591.622
70,201,591.327
71,201,591.319
72,201,591.791
73,201,591.963
74,201,592.473
75,201,594.293
76,201,593.204
77,201,593.095
78,201,593.552
79,201,595.582
80,201,595.389
81,201,590.060
82,201,590.925
83,201,590.493
84,201,594.509
85,201,592.617
86,201,593.548
87,201,590.581
88,201,591.567
89,201,592.237
90,201,596.726
91,201,591.401
92,201,590.712
93,201,590.987
94,201,591.498
95,201,594.198
96,201,590.592
97,201,593.483
98,201,599.920
99,201,594.332
100,201,590.997
