Execution,read_total_time_ms
1,4.77033
2,1.81295
3,2.00045
4,2.41098
5,3.16271
6,3.79162
7,3.08485
8,1.44460
9,2.40462
10,2.06823
11,1.33940
12,1.79835
13,2.00945
14,1.61089
15,3.46507
16,1.62928
17,1.57815
18,1.56406
19,6.43948
20,2.26072
21,4.61207
22,3.61190
23,3.30695
24,2.87951
25,2.33722
26,1.69019
27,2.54004
28,2.82970
29,2.05925
30,1.59409
31,1.62569
32,1.57591
33,1.56410
34,1.87077
35,1.70161
36,1.89583
37,2.35360
38,2.30228
39,2.04129
40,2.22624
41,2.82876
42,2.13955
43,2.52994
44,2.05443
45,1.67167
46,2.13483
47,3.28249
48,1.67997
49,1.88767
50,3.41443
51,2.63730
52,2.61740
53,2.56584
54,2.25633
55,1.67081
56,1.62055
57,2.76924
58,2.00927
59,3.48656
60,1.63005
61,2.45670
62,1.64946
63,1.53794
64,1.63133
65,1.53978
66,2.17135
67,2.48996
68,1.59414
69,2.36002
70,2.56724
71,3.12863
72,2.35700
73,2.97451
74,3.64718
75,2.13379
76,1.79705
77,3.17615
78,1.44970
79,2.59952
80,2.29026
81,2.07151
82,1.99139
83,1.32012
84,1.37928
85,1.36226
86,1.31878
87,2.17303
88,1.83859
89,2.33436
90,4.29817
91,1.84589
92,1.38578
93,2.38682
94,1.25936
95,1.33896
96,2.49384
97,1.94171
98,1.96827
99,1.33682
100,1.62704
