run,retrieve_time_ms
1,42
2,43
3,43
4,42
5,40
6,40
7,40
8,40
9,40
10,39
11,40
12,39
13,40
14,39
15,39
16,39
17,39
18,39
19,39
20,39
21,39
22,39
23,39
24,42
25,40
26,40
27,40
28,40
29,39
30,39
31,40
32,39
33,40
34,40
35,40
36,40
37,39
38,39
39,39
40,39
41,40
42,39
43,39
44,39
45,39
46,39
47,39
48,39
49,42
50,40
51,39
52,39
53,39
54,39
55,39
56,39
57,39
58,39
59,39
60,39
61,39
62,39
63,39
64,39
65,39
66,39
67,39
68,39
69,39
70,39
71,39
72,39
73,39
74,39
75,39
76,39
77,39
78,39
79,39
80,39
81,39
82,39
83,39
84,39
85,39
86,39
87,39
88,39
89,39
90,39
91,39
92,39
93,39
94,39
95,39
96,39
97,39
98,39
99,41
100,39
