iteration,duration_ms
1,0.045381
2,0.032001
3,0.022840
4,0.021181
5,0.020800
6,0.020720
7,0.020601
8,0.020480
9,0.020400
10,0.020941
11,0.020480
12,0.020321
13,0.020380
14,0.020460
15,0.020461
16,0.020600
17,0.020420
18,0.020481
19,0.020740
20,0.020420
21,0.020400
22,0.020420
23,0.020621
24,0.020400
25,0.020260
26,0.020381
27,0.020360
28,0.020340
29,0.020380
30,0.023080
31,0.020861
32,0.020320
33,0.020300
34,0.020381
35,0.020280
36,0.020200
37,0.020320
38,0.020340
39,0.020401
40,0.020340
41,0.020340
42,0.020261
43,0.020140
44,0.020240
45,0.020401
46,0.020320
47,0.020201
48,0.020340
49,0.020160
50,0.020261
51,0.020280
52,0.020300
53,0.020301
54,0.020260
55,0.020220
56,0.020201
57,0.020300
58,0.020341
59,0.020280
60,0.020340
61,0.020321
62,0.020360
63,0.020440
64,0.020341
65,0.020200
66,0.020361
67,0.020180
68,0.020240
69,0.020221
70,0.020200
71,0.020140
72,0.020241
73,0.022200
74,0.020540
75,0.020280
76,0.020240
77,0.020301
78,0.020380
79,0.020260
80,0.020301
81,0.020260
82,0.033021
83,0.020780
84,0.020220
85,0.020161
86,0.020240
87,0.020140
88,0.020100
89,0.020180
90,0.020121
91,0.020060
92,0.020040
93,0.020161
94,0.020040
95,0.020040
96,0.020021
97,0.020100
98,0.020021
99,0.020180
100,0.020000
