Execution,write_total_time_ms
1,4.76717
2,1.80589
3,1.99631
4,2.40596
5,3.15787
6,3.78722
7,3.08025
8,1.43964
9,2.40048
10,2.06583
11,1.33460
12,1.79351
13,2.00491
14,1.60665
15,3.46057
16,1.62455
17,1.57356
18,1.56065
19,6.41882
20,2.25569
21,4.60713
22,3.60774
23,3.30225
24,2.87541
25,2.32582
26,1.68511
27,2.53504
28,2.82606
29,2.05501
30,1.58981
31,1.62133
32,1.57154
33,1.55972
34,1.86249
35,1.69569
36,1.89159
37,2.34946
38,2.29872
39,2.03719
40,2.22255
41,2.82426
42,2.13465
43,2.52592
44,2.04955
45,1.66215
46,2.12933
47,3.27807
48,1.67557
49,1.88281
50,3.40975
51,2.63296
52,2.68088
53,2.56120
54,2.25178
55,1.66587
56,1.61612
57,2.76570
58,2.00511
59,3.48192
60,1.62577
61,2.45228
62,1.64253
63,1.53314
64,1.62681
65,1.53788
66,2.16695
67,2.48520
68,1.58960
69,2.35596
70,2.56180
71,3.12395
72,2.35236
73,2.96543
74,3.64238
75,2.12947
76,1.79281
77,3.17193
78,1.44496
79,2.59452
80,2.28542
81,2.06671
82,1.98687
83,1.31526
84,1.37502
85,1.35782
86,1.31438
87,2.16847
88,1.83435
89,2.32908
90,4.29375
91,1.84125
92,1.38122
93,2.38228
94,1.25490
95,1.33438
96,2.48746
97,1.93703
98,1.96341
99,1.33222
100,1.62235
