iteration,duration_ms
1,4.417
2,1.660
3,1.849
4,2.236
5,2.945
6,3.537
7,2.872
8,1.328
9,2.232
10,1.915
11,1.229
12,1.661
13,1.860
14,1.485
15,3.230
16,1.502
17,1.454
18,1.441
19,6.014
20,2.095
21,4.309
22,3.368
23,3.081
24,2.679
25,2.162
26,1.558
27,2.359
28,2.632
29,1.907
30,1.465
31,1.499
32,1.452
33,1.441
34,1.725
35,1.569
36,1.753
37,2.184
38,2.135
39,1.890
40,2.064
41,2.631
42,1.981
43,2.349
44,1.901
45,1.537
46,1.977
47,3.058
48,1.550
49,1.745
50,3.181
51,2.450
52,2.496
53,2.383
54,2.092
55,1.540
56,1.494
57,2.575
58,1.860
59,3.250
60,1.503
61,2.281
62,1.519
63,1.416
64,1.504
65,1.418
66,2.012
67,2.312
68,1.469
69,2.190
70,2.384
71,2.913
72,2.187
73,2.762
74,3.401
75,1.977
76,1.660
77,2.958
78,1.333
79,2.415
80,2.123
81,1.918
82,1.830
83,1.211
84,1.267
85,1.251
86,1.210
87,2.014
88,1.699
89,2.165
90,4.014
91,1.706
92,1.273
93,2.215
94,1.154
95,1.229
96,2.314
97,1.796
98,1.821
99,1.227
100,1.501
